raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
1035,807,3,44,211,3,52,7,9,0
1035,817,3,35,4,5,51,14,9,0
1035,822,2,32,131,1,52,3,9,1
1035,826,2,35,213,16,52,10,9,0
1035,830,2,32,9,4,52,1,9,1
1035,832,2,34,1,12,52,13,9,0
1035,839,1,22,4,14,52,8,9,0
1035,840,2,31,211,6,52,6,9,0
1035,841,2,33,51,19,51,17,9,0
1035,842,2,23,213,7,52,11,9,0
1035,844,1,18,6,8,52,4,9,0
1035,846,2,29,1,10,52,9,9,0
1035,847,3,39,3,15,51,18,9,0
1035,848,2,30,9,9,52,5,9,0
1035,849,3,46,3,18,51,19,9,0
1036,1,2,50,131,1,66,1,4,1
1036,8,2,44,51,14,65,14,4,0
1036,20,1,29,6,11,65,7,4,0
1036,154,2,62,210,17,64,19,4,0
1036,815,1,29,211,4,65,5,4,0
1036,817,1,35,4,13,65,11,4,0
1036,822,3,64,131,2,66,3,4,1
1036,825,1,28,210,16,65,15,4,0
1036,826,2,45,213,12,65,12,4,0
1036,830,2,41,9,3,66,2,4,1
1036,832,2,41,1,7,65,6,4,0
1036,839,1,34,4,15,65,13,4,0
1036,840,2,42,211,5,65,4,4,0
1036,841,2,45,51,20,65,16,4,0
1036,842,2,42,213,10,65,9,4,0
1036,846,2,44,1,8,65,10,4,0
1036,847,2,35,3,18,65,17,4,0
1036,848,2,39,9,6,65,8,4,0
1036,849,2,49,3,19,64,18,4,0
1037,1,1,11,131,1,44,1,13,1
1037,8,1,10,51,16,44,12,13,0
1037,20,1,11,6,14,44,13,13,0
1037,154,1,10,210,17,44,15,13,0
1037,815,1,18,211,8,44,10,13,0
1037,817,1,11,4,4,44,4,13,0
1037,822,1,11,131,2,44,2,13,1
1037,825,2,35,210,20,44,17,13,0
1037,826,1,11,213,11,44,11,13,0
1037,830,1,11,9,3,44,3,13,1
1037,839,1,11,4,6,44,5,13,0
1037,840,1,11,211,9,44,9,13,0
1037,842,1,26,213,12,44,8,13,0
1037,844,2,24,6,13,44,14,13,0
1037,846,1,11,1,10,44,7,13,0
1037,848,1,11,9,5,44,6,13,0
1037,849,2,30,3,19,44,16,13,0
1038,1,3,28,131,1,53,7,14,0
1038,8,2,26,51,14,53,13,14,0
1038,154,2,26,210,16,53,12,14,0
1038,815,2,26,211,4,53,10,14,0
1038,817,2,26,4,7,53,6,14,0
1038,822,2,26,131,2,53,5,14,0
1038,826,2,26,213,11,53,9,14,0
1038,832,2,26,1,3,53,2,14,1
1038,839,2,26,4,12,53,8,14,0
1038,840,1,26,211,8,53,3,14,1
1038,841,3,30,51,18,53,16,14,0
1038,842,2,26,213,10,53,1,14,1
1038,846,2,26,1,6,53,4,14,0
1038,847,2,26,3,19,53,14,14,0
1038,848,2,26,9,9,53,15,14,0
1038,849,2,26,3,20,53,11,14,0
1039,1,5,45,131,1,59,1,76,1
1039,8,6,44,51,13,59,9,76,0
1039,20,6,45,6,14,59,10,76,0
1039,154,5,44,210,15,59,12,76,0
1039,815,5,45,211,7,59,5,76,0
1039,817,5,45,4,8,59,4,76,0
1039,822,5,45,131,2,59,2,76,1
1039,826,5,45,213,12,59,7,76,0
1039,844,5,45,6,5,59,8,76,0
1039,846,5,45,1,11,59,6,76,0
1039,847,5,45,3,18,59,11,76,0
1039,848,5,45,9,4,59,3,76,1
1040,1,1,16,131,1,53,3,71,1
1040,8,1,35,51,19,52,14,71,0
1040,20,1,30,6,14,52,13,71,0
1040,154,2,42,210,16,52,17,71,0
1040,815,1,20,211,4,53,4,71,0
1040,817,1,15,4,5,53,5,71,0
1040,822,1,26,131,3,53,1,71,1
1040,825,1,19,210,18,52,12,71,0
1040,826,1,30,213,11,53,8,71,0
1040,830,1,25,9,2,53,2,71,1
1040,839,1,18,4,7,53,7,71,0
1040,841,1,16,51,17,52,11,71,0
1040,842,2,42,213,9,53,9,71,0
1040,844,1,28,6,10,53,6,71,0
1040,846,2,47,1,8,52,15,71,0
1040,847,3,50,3,13,52,18,71,0
1040,848,2,27,9,15,53,10,71,0
1040,849,1,17,3,20,52,16,71,0
1041,1,2,45,131,2,60,1,20,1
1041,8,2,44,51,19,60,12,20,0
1041,20,2,41,6,11,60,11,20,0
1041,154,1,28,210,16,60,9,20,0
1041,807,2,44,211,20,60,8,20,0
1041,815,2,45,211,9,60,4,20,0
1041,817,2,44,4,6,60,3,20,1
1041,825,2,34,210,15,60,13,20,0
1041,826,2,44,213,13,60,15,20,0
1041,830,2,45,9,3,60,2,20,1
1041,832,2,44,1,10,60,5,20,0
1041,841,2,36,51,14,60,10,20,0
1041,842,2,44,213,12,60,6,20,0
1041,844,2,35,6,4,60,7,20,0
1041,849,2,33,3,18,60,14,20,0
1042,1,1,40,131,1,66,1,75,1
1042,8,1,11,51,16,65,11,75,0
1042,20,1,27,6,15,65,10,75,0
1042,154,1,26,210,18,65,17,75,0
1042,815,2,45,211,5,65,7,75,0
1042,817,1,14,4,10,65,9,75,0
1042,822,1,41,131,2,66,2,75,1
1042,825,1,31,210,19,65,16,75,0
1042,826,2,55,213,13,64,19,75,0
1042,830,1,23,9,3,66,3,75,1
1042,832,1,26,1,7,65,6,75,0
1042,839,1,53,4,11,65,8,75,0
1042,841,1,28,51,17,65,15,75,0
1042,842,1,28,213,9,65,5,75,0
1042,844,1,34,6,4,66,4,75,0
1042,846,2,43,1,8,65,13,75,0
1042,847,1,36,3,14,65,14,75,0
1042,848,2,46,9,6,65,12,75,0
1042,849,1,24,3,20,64,18,75,0
1043,1,2,52,131,2,63,1,21,1
1043,8,1,48,51,18,63,9,21,0
1043,20,2,51,6,14,63,12,21,0
1043,154,2,50,210,16,63,14,21,0
1043,815,2,51,211,11,63,6,21,0
1043,817,1,14,4,5,63,3,21,1
1043,822,2,51,131,1,63,2,21,1
1043,826,2,51,213,8,63,4,21,0
1043,832,2,51,1,10,63,7,21,0
1043,840,3,52,211,15,63,13,21,0
1043,841,1,10,51,20,63,10,21,0
1043,844,1,13,6,7,63,5,21,0
1043,846,2,53,1,9,63,8,21,0
1043,848,2,59,9,6,63,15,21,0
1043,849,1,34,3,19,63,11,21,0
1044,1,1,8,131,6,58,1,5,1
1044,8,3,50,51,8,57,15,5,0
1044,20,2,33,6,11,58,3,5,1
1044,815,1,10,211,3,58,2,5,1
1044,817,2,32,4,5,58,10,5,0
1044,822,2,46,131,9,57,14,5,0
1044,825,2,34,210,13,55,17,5,0
1044,826,1,8,213,16,57,12,5,0
1044,830,3,43,9,2,58,6,5,0
1044,832,2,33,1,15,58,5,5,0
1044,839,2,10,4,7,57,11,5,0
1044,840,2,36,211,1,58,9,5,0
1044,842,2,33,213,19,57,13,5,0
1044,844,2,30,6,12,58,4,5,0
1044,846,2,36,1,14,58,8,5,0
1044,847,2,42,3,0,57,16,5,0
1044,848,2,34,9,4,58,7,5,0
1045,1,3,35,131,1,57,1,3,1
1045,8,3,40,51,17,56,15,3,0
1045,20,3,39,6,11,56,13,3,0
1045,815,3,36,211,5,53,18,3,0
1045,817,3,36,4,6,57,7,3,0
1045,822,4,38,131,2,57,8,3,0
1045,825,4,53,210,18,56,17,3,0
1045,826,3,33,213,10,56,11,3,0
1045,830,4,46,9,3,57,2,3,1
1045,832,3,39,1,15,57,5,3,0
1045,839,3,34,4,7,57,9,3,0
1045,841,3,53,51,16,56,16,3,0
1045,842,2,25,213,8,57,6,3,0
1045,844,3,40,6,12,56,10,3,0
1045,846,3,38,1,9,57,4,3,0
1045,847,3,39,3,14,56,12,3,0
1045,848,3,34,9,4,57,3,3,1
1045,849,3,37,3,20,56,14,3,0
1046,8,3,62,51,18,87,14,3,0
1046,20,3,63,6,13,87,12,3,0
1046,815,2,47,211,5,87,1,3,1
1046,817,2,55,4,7,87,5,3,0
